year,month,factor
2018,3,0.12568202109718593
2018,6,0.12951787308620746
2018,9,0.1342382857709732
2018,12,0.1425878773850071
2019,3,0.15053238980192454
2019,6,0.15906798716973644
2019,9,0.17186414966436295
2019,12,0.20318751860057538
2020,3,0.2126417777189908
2020,6,0.22141504910551899
2020,9,0.2413000975496842
2020,12,0.27954081379584006
2021,3,0.29383432260837933
2021,6,0.3205292483714163
2021,9,0.3481500694421481
2021,12,0.39330089944115604
2022,3,0.42323439205052743
2022,6,0.4595520154756787
2022,9,0.49141893455904234
2022,12,0.5291822360371681
2023,3,0.5739972223140769
2023,6,0.6267060861082636
2023,9,0.6764708921662643
2023,12,0.7220154343441024
2024,3,0.7791915363248569
2024,6,0.8385935071591548
2024,9,0.8947724116265996
2024,12,0.9621106279554248
2025,1,1.0
